"year","month","day","start","end","length","date"
2016,6,"8",2017-08-21 04:48:00,2017-08-21 20:53:00,"16:05:16",2016-06-08
2016,6,"9",2017-08-21 04:48:00,2017-08-21 20:54:00,"16:06:19",2016-06-09
2016,6,"10",2017-08-21 04:48:00,2017-08-21 20:55:00,"16:07:17",2016-06-10
2016,6,"11",2017-08-21 04:47:00,2017-08-21 20:55:00,"16:08:10",2016-06-11
2016,6,"12",2017-08-21 04:47:00,2017-08-21 20:56:00,"16:08:57",2016-06-12
2016,6,"13",2017-08-21 04:47:00,2017-08-21 20:57:00,"16:09:40",2016-06-13
2016,6,"14",2017-08-21 04:47:00,2017-08-21 20:57:00,"16:10:17",2016-06-14
2016,6,"15",2017-08-21 04:47:00,2017-08-21 20:58:00,"16:10:49",2016-06-15
2016,6,"16",2017-08-21 04:47:00,2017-08-21 20:58:00,"16:11:16",2016-06-16
2016,6,"17",2017-08-21 04:47:00,2017-08-21 20:58:00,"16:11:38",2016-06-17
2016,6,"18",2017-08-21 04:47:00,2017-08-21 20:59:00,"16:11:54",2016-06-18
2016,6,"19",2017-08-21 04:47:00,2017-08-21 20:59:00,"16:12:05",2016-06-19
2016,6,"20",2017-08-21 04:47:00,2017-08-21 20:59:00,"16:12:10",2016-06-20
2016,6,"21",2017-08-21 04:47:00,2017-08-21 20:59:00,"16:12:10",2016-06-21
2016,6,"22",2017-08-21 04:48:00,2017-08-21 21:00:00,"16:12:05",2016-06-22
2016,6,"23",2017-08-21 04:48:00,2017-08-21 21:00:00,"16:11:54",2016-06-23
2016,6,"24",2017-08-21 04:48:00,2017-08-21 21:00:00,"16:11:38",2016-06-24
2016,6,"25",2017-08-21 04:49:00,2017-08-21 21:00:00,"16:11:17",2016-06-25
2016,6,"26",2017-08-21 04:49:00,2017-08-21 21:00:00,"16:10:51",2016-06-26
2016,6,"27",2017-08-21 04:49:00,2017-08-21 21:00:00,"16:10:19",2016-06-27
2016,6,"28",2017-08-21 04:50:00,2017-08-21 21:00:00,"16:09:42",2016-06-28
2016,6,"29",2017-08-21 04:50:00,2017-08-21 20:59:00,"16:09:00",2016-06-29
2016,6,"30",2017-08-21 04:51:00,2017-08-21 20:59:00,"16:08:12",2016-06-30
2016,7,"1",2017-08-21 04:52:00,2017-08-21 20:59:00,"16:07:20",2016-07-01
2016,7,"2",2017-08-21 04:52:00,2017-08-21 20:59:00,"16:06:22",2016-07-02
2016,7,"3",2017-08-21 04:53:00,2017-08-21 20:58:00,"16:05:20",2016-07-03
2016,7,"4",2017-08-21 04:54:00,2017-08-21 20:58:00,"16:04:13",2016-07-04
2016,7,"5",2017-08-21 04:54:00,2017-08-21 20:57:00,"16:03:00",2016-07-05
